start	end	text
600	5800	シャランベーカー日語更快速高校マン 搜索微信小程序日語輕鬆考
7320	8840	では始めます
15200	16060	一番
16800	19860	男の学生と女の学生が話しています
20820	24600	男の学生はこの後まずどうしますか
26160	31580	アパートの隣の人が夜うるさくて寝られないんだけど こういう時ってどうしたらいいのかな
32080	38960	両に住んでる私の友達は隣の人がうるさくて困った時 掲示板に張り紙を張ったって言ってたけど
38960	42540	へえ でもうちのアパート掲示板ないしな
43040	49080	実は先週から隣に何回か話に行ってみたんだけど チャイム鳴らしても誰も出てこなくて
49560	53400	管理人さんには一応こういうことで困ってると話してきたんだけど
53400	58100	じゃあ大丈夫じゃない それがね管理人さんにはおととい言ったんだけど
58100	62580	おとといも昨日もうるさくて 今日もう一回隣に行ってみようかな
63260	68800	厄介なことになるのもね 管理人さんにもう一度話して任せたほうがいいよ
69340	74140	それがダメだったら隣の人に手紙を書いてみるっていうのも手だと思うけど
74680	76820	そうだね そうしてみる
81660	85900	おとこの学生はこの後まずどうしますか
99700	106660	2番 会社で男の人と課長が新商品のパンフレットについて話しています
107660	111800	男の人はこの後まず何をしなければなりませんか
113780	117860	課長 先週コメントいただいたパンフレットの表紙を修正したので
117860	121340	もう一度見ていただきたいんですが うん見せて
122160	127880	キャッチフレーズの位置は ああ直したのねよくなったわね
128640	131060	はい でこのキャッチフレーズどうでしょう
131060	135060	みんなで相談して変更したんですが うーんそうね
135820	139360	キャッチフレーズにしては ちょっとインパクトが足りないんじゃない
139960	146960	ちょっとお考えさせてくれる あと写真の説明文はもっと完結にしたほうがいいわね
147660	153120	そしたら写真はもう少し大きくなるんじゃない 説明文との兼ね合いだと思うけど
154520	157000	はい じゃあとりあえずそっちからやって
157500	159880	写真の大きさはまずは保留で
159880	161300	はいわかりました
166880	171440	おとこの人はこのあと まず何をしなければなりませんか
185100	185900	3番
186840	191680	夏祭りのミーティングで男の学生と 女の学生が話しています
192620	195860	女の学生は何を担当しますか
197480	200480	えー じゃあ夏祭りの各担当を決めて
200480	204140	次回ミーティングまでに担当ごとに 準備を進めておきたいと思います
204980	207780	えーと大野さん会計を担当してもらえない
208240	210960	あの 会計ってどんなことを
211440	216120	えっと野菜で食べ物を販売する店の かかりが食材の仕入れとか
216120	217760	機材レンタルとかするんだけど
217760	219820	業者から見積もりを取ってくるんで
219820	223120	会計はそれを取りまとめて予算を 立てたりするんだよね
223720	227420	そのほか最後終始を出すとこまで お金に関すること全般
228540	230760	私 お金の管理や計算は
231500	232520	何か他には
233020	237740	えーと他に決めなきゃいけないのは ステージのかかりと候補のかかり
238100	241420	ステージのかかりはイベントの企画と 当日の進行役
241860	244240	候補のかかりはホームページ作成とか
244940	248140	あ そういえば大野さん Webデザイン勉強してたよね
248700	250880	はい 基本的なことだけですが
251460	254100	ホームページにはどんな内容を載せるんですか
254720	259160	それはステージのかかりがイベントを企画して 参加者募るからその情報とか
259860	262720	あと店のかかりから上がってくる情報を 載せたりとか
263180	264420	ああ だったら
264860	266760	みんなと相談しながらやってみます
268400	268860	ん
272660	275880	女の学生は何を担当しますか
281060	281520	ん
288100	288920	4番
289720	295460	大学でアシスタントと男の先生が 研究会の準備について話しています
296160	300600	アシスタントはこの後まず 何をしなければなりませんか
302620	305880	先生 来週の研究会の準備の件で
305880	308400	確認させていただきたいことがあるんですが
308400	311220	ああ ディスカッションのグループ訳の件
311980	317100	当日受付で教師の経験がある人と 未経験の人を混ぜたグループを
317100	318900	いくつか作ることになってたよね
319700	324540	はい ただ当日 参加者一人一人に経験のうむを確認して
324540	327920	グループ訳をする時間的な余裕があるかなと思いまして
328840	331100	50名以上の方が参加予定なので
331440	334460	資料題をいただくだけでも手間がかかりますし
334460	336400	うーん そうか
337220	340360	じゃあ前もってメールで確認しておいたほうが確実だね
341380	344480	それでそれを踏まえてグループ訳までをやっといてね
344480	346780	あ 資料題の連絡はしてある?
347600	350200	その件はホームページに掲載済みです
350200	352920	そっか 資料のコピーも頼むよ
352920	355380	それは前日に用意しますので
361260	365760	アシスタントはこの後まず何をしなければなりませんか
380120	380960	ご飯
381760	382180	ご飯
382180	385740	会社で男の人と人事家の人が話しています
386640	390340	男の人はまず何をしなければなりませんか
392780	395740	あの 今年は健康診断よりもっと詳しいけど
395740	395740	
396640	398260	人間ドックを受けたいんです
398620	401540	提携している病院で人間ドックを受ける場合
401540	403400	確か費用の補助があるんですよね
403960	405720	今まで利用したことないんですけど
405720	407480	どうやって申し込んだらいいですか
408240	410600	はい 人間ドックを受ける人には
410600	413200	1万円を上限とした補助があります
413740	416840	うちの会社と提携している病院での受信は
416840	421500	社員向けホームページから直接予約できるシステムになっています
422380	425420	このシステムを通して人間ドックを予約すると
425420	427940	自動的に補助が受けられますので
427940	430420	申請書等は必要ありません
431320	433900	この制度を初めてご利用なさる際には
433900	436620	社員番号などの情報を入力して
436620	438740	利用者登録が必要です
438740	439840	そうですか
439840	443840	それから必ず受信する3週間前までに
443840	445640	予約をするようにしてください
446220	449620	病院によっては予約が殺頭することがあるので
449620	452100	できるだけ早くされた方がいいですね
452740	453500	分かりました
454500	457580	あと受信の日は結金にはならないって聞いたんですが
457580	460440	人事課に事前に受信日を連絡するんでしょうか
460440	464640	受信日も新しいシステムで一括管理していますから
464640	467800	特には不明な点がありましたら
467800	469540	またお問い合わせください
469540	472380	はい やってみます ありがとうございました
502380	505220	これから売り出す弁当について話しています
506240	510800	女の人はこの後まず何をしなければなりませんか
514620	517460	来年秋に駅で売り出すお弁当だけど
517460	518200	どうなった
518840	520400	調査結果を踏まえての
520820	521220	はい
521660	524080	あのニーズ調査を分析したところでは
524080	527460	やはりこの地域でしか食べられないものが
527460	528240	望まれています
528700	529880	多少願っても
530640	532920	それから作り立てのような
532920	535500	温かいものが欲しいって声が高いですね
536180	536800	そうか
537260	540420	で 保温機能の付いた容器を使ってですね
540960	542120	温かいご飯と
542120	545320	ここの名物の鶏肉のテンプラを入れたらどうでしょう
545860	546180	なるほど
547060	550520	温かい鶏テンプラが入った弁当っていうのはないかもな
550520	550960	はい
551520	555280	うん 保温の効果がどれだけ持続するかにかかるな
555940	557780	どんなのがあるか調べてみた
558940	559580	まだです
559580	561520	じゃあちょっと当たってみて
562360	564960	あとお弁当に入れる他のおかずについても
564960	568480	本機能のある器ならではのものが入れられるといいだろうね
569260	571560	そのあたりも案を考えてほしいんだけど
571560	574800	まずは器が実現できるかどうかだね
574800	575280	はい
575720	577300	そういったことがクリアできたら
577300	579560	お弁当の価格設定の検討だな
579900	581540	コストパフォーマンスも大事だから
582140	583500	はい わかりました
591340	596040	女の人はこのあとまず何をしなければなりませんか
604720	605600	一番
606340	610280	喫茶店で男の人と女の人が話しています
611240	615520	男の人はどういうものが捨てられないと言っていますか
615520	616960	男の人です
647780	650540	男の人だけど捨てられないものが多くて困ってるんだ
650540	652280	ああ それわかる
652920	654740	私も部屋の大掃除してると
654740	657960	子供の頃書いた枝の作文だの見つけて
