start	end	text
1060	6120	シャラン・ベイカー日語更快速高校嗎? 搜索微信小程序日語輕鬆考
7820	9540	では、始めます
16440	17160	一番
17700	21180	大学の陸上部の校地とキャプテンが話しています
22260	25280	キャプテンは、理例の順番をどうしますか?
26960	32020	田中、来週の試合で4人順番に走る理例のことなんだが
32020	35080	先週選びを任せていたよな、決まったか?
35620	38020	はい、コーチ、この4人に決めました
38020	39720	この目も見てください
40600	41280	うんうん
41960	43640	順番はどうしましょうか?
44180	49840	1年生のキム、2年生の林、3年生の山川、田中か
50680	53720	田中、君はいつも通り最後を頼むよ
53720	55100	はい、わかりました
55660	59180	私の前はいつも通り山川でいいでしょうか?
59300	60320	そうだな
60320	62180	ちょっと待てよ
63200	65320	最近山川の調子がいいからな
65840	68580	今回は他のチームとのレベルが起行してるから
69160	72820	スタートでリードできるように山川を最初にしたらどうだ?
73180	76020	はい、次にキム、林でしょうか?
76600	79740	キムはコーナーが得意だから林と入れ替えるか
79740	81800	そうですね、わかりました
87700	88100	2番
88100	91280	キャプテンはリレーの順番をどうしますか?
106520	107320	2番
107880	111840	大学で男の学生と女の学生が話しています
111840	116100	男の学生はまず何をしますか?
117660	119460	就職活動、もう始めた?
119980	122560	まあね、早く始めた方がいいからね
122560	124840	就職支援サイトにも登録したよ
125580	126960	それってインターネットの?
127280	129240	いろんな企業の就職情報が載ってる
129920	131760	僕もそろそろ動かないとな
132400	135460	それより大学の就職課には相談に行った?
135900	138740	うちの学生向けの就職情報が分かるよ
139200	140140	就職課か
140980	144140	あと、私は就職活動の流れを掴むために
144140	146180	就職関連の本も読んだけど
146180	147500	それは大丈夫
147500	150340	明説対策の本先輩にもらったから
150340	153200	明説か、気が早いね
153680	157700	でもまずは、うちの大学の就職情報を抑えておいたら
157700	158780	そっか
158780	163940	それと、居歴書用の証明写真の印象も大事だよ
163940	166620	早く準備しておいた方がいいよね
166620	167860	そうだね
168360	169860	どんな業界に行きたいの?
170200	171280	まだそこまでは
171900	175060	業種によっても写真の雰囲気変えた方がいいんだって
175620	177880	まあとりあえず話を聞きに行ったら
178400	179200	そうだよね
179200	180640	そうする、ありがとう
186600	189660	男の学生はまず何をしますか?
205420	206140	3番
206960	210580	会社で男の人と女の人が話しています
211480	214320	女の人はまず何をしますか?
215940	219360	今年の新商品の展示会が来月に迫ってきたんで
219360	222420	カタルグの準備に取り掛かろうと思ってるんだけど
222420	222880	はい
223280	225600	去年の資料を土台にして作るとして
226480	229620	カタルグに載せる今年の新商品の説明のところ
230260	231900	文章を新たに作らないとね
231900	232500	はい
234420	235060	うーん
235060	237320	表紙のデザインが古くなってきてるんで
237800	241480	これを機に表紙の写真を変えたらどうかって思ってるんだが
241480	245680	新しい研究所がある長野の風景を使ったらどうでしょうか
246140	246460	なるほど
247600	251560	綺麗な環境の中で製品の品質化に一から入れてるところ
251920	253280	打ち出したいところだしね
254820	256840	じゃあその方針で進めるとして
257560	261000	デザインについては印刷会社に案を出してもらおうとしようか
261660	264100	担当は佐藤くんが敵人だな
264100	265800	手配は彼に頼もう
265800	269340	で商品説明のところは君にお願いするよ
269340	269780	はい
270220	273020	次の会議で検討するからそれまでに頼むよ
273980	277200	原稿を取りまとめて印刷会社に送った後も
277200	279640	チェックや修正に時間がかかるからな
280260	281260	急いで取り掛かろう
286960	287540	い
287540	290080	女の人はまず何をしますか
304920	306080	4番
306780	310220	大学で学生と先生が話しています
311160	314460	学生はまず何をしなければなりませんか
317220	319200	先生卒業論文なんですが
319800	322220	どのように進めたらいいでしょうか
322220	323060	そうね
323680	327500	提出までまだ1年近くあるから焦らなくてもいいけど
328180	330460	インタビュー調査をするんでしたよね
330460	330820	はい
331460	333720	分析の時間をしっかり取るためには
333720	335960	なるべく早く調査しなきゃね
335960	336560	はい
337260	337620	そうですね
338160	340860	まずは調査したいことを絞って
340860	343880	インタビューの質問項目を作ってみましょうか
344500	344900	はい
345920	347880	少しは考えてみたんですが
348460	351340	どんな質問にすればいいか難しくて
351340	351680	あ
351680	355020	関連する文献はまだ調べてませんか
355020	355660	ええ
356140	357200	まだ余り
357200	357680	じゃあ
358080	361440	今までの研究でどんな調査が行われて
361440	364280	どんな結果が出たか調べてからよね
365260	365660	はい
365660	369880	それから卒業論文のイメージをつかむのも大切よ
370620	373040	先輩たちの卒業論文は読んでみた
373880	375400	それは一通り
375400	375660	そう
376340	377820	じゃあさらいしゅ
377820	379400	途中経過を教えてください
385600	389020	学生はまず何をしなければなりませんか
404780	405480	5番
406280	409900	会社で女の人と男の人が話しています
410880	415060	男の人はホームページをどのように変更しますか
416440	419140	申請品の掃除機のホームページなんだけど
419140	422520	アクセスあまり伸びてないみたいだね
422520	422980	はい
422980	425240	トップページはそこそこなんですけど
425240	429280	製品紹介や使用体験のページに進む人が少なくて
430020	430660	そうか
431140	432920	体験機を見てもらいたいんだよね
433460	436140	そこへ誘導する仕掛けもっと考えられない
436920	438480	ページのデザインですよね
438480	439020	うん
439400	441300	トップページのリンクが貼ってあるところ
441660	443240	目立つような色にしてみよう
443240	447140	それと製品紹介から体験ページへの方もよろしく
447940	451200	これいいよっていう声を受けて決める人もいるだろうから
451200	454740	セール中っていうのももっと全面に押し出しましょうか
454740	455920	うーん
456320	457860	それはいじらなくてもいいかな
458340	460740	あんまり派手になりすぎてもって思うから
466760	470720	男の人はホームページをどのように変更しますか
486540	487420	6番
488180	492620	電話で雑誌の編集者と留学生が話しています
493560	496980	留学生はこれからまず何をしますか
498380	501340	あのもしもし月間トラベルの山田です
501340	506860	先日お願いしていた日本に住む外国人に記事を書いていただくという件なんですけど
506860	507680	はい
507680	510760	確か日本での生活についてでしたよね
510760	514580	いやそれが社内で検討会議を開きましたところ
514580	516660	日本での生活ではなくて
516660	522400	日本ではまだあまり知られていないお国の文化についてお願いしたいということになったんですが
522400	523820	ああいいですね
523820	527680	うちの雑誌の読者総が340代の女性ですから
527680	531680	女性目線で見たおすすめの情報はいつも公表なんで
531680	536420	ファッション、食文化、利用と健康について取り上げていただけませんか
536860	540900	ページ数は写真を含めて2ページから3ページといったところです
541540	544960	ちょうど来月1時帰国することになってるんですよ
544960	548080	その時にいろいろ写真を撮ってきましょうか
548080	549540	それは良かったです
549540	552600	ね、今ご存知の内容で結構ですので
552600	554880	最近どんなものが流行っているか
554880	557740	情報を簡単にまとめておいていただけませんか
557740	558300	はい
558300	561760	企画の段階から一緒に練り上げたいと思っておりますので
561760	566100	一時帰国の前にそれをもとに打ち合わせをさせていただきたいんですけど
566100	566660	はい
566660	570220	打ち合わせを踏まえて企画書はこちらで作成しますから
570780	574620	現行締め切りは2ヶ月後を目安にということで大丈夫でしょうか
575020	576380	はい、わかりました
582440	586060	留学生はこれからまず何をしますか
602260	603360	問題2
604200	608200	問題2ではまず質問を聞いてください
609260	613200	その後問題用紙の選択肢を読んでください
613200	615540	読む時間があります
616720	618800	それから話を聞いて
618800	621740	問題用紙の1から4の問題を読んでください
621740	621740	
621740	621740	
621740	626520	読む時間の中から最も良いものを一つ選んでください
629920	632080	では練習しましょう
639960	644700	大学で男の学生と女の学生が話しています
645920	650820	この男の学生は生成がどうして起こったと言っていますか
657980	658700	問題3
658700	658700	
658700	658700	
667900	668620	問題6
668620	668620	
672660	673380	問題8
676180	679320	先生を怒らせちゃったみたいなんだよね
679980	680880	困ったな
681900	683240	どうしたの
683240	685600	いやそれがね
686500	688120	先生に頼まれた資料
688120	691040	昨日までに渡さなくちゃいけなかったんだけど
691040	693200	色々あって渡さなくて
693200	695620	それで怒られちゃったの
698240	700500	それで怒られたって言うより
700500	703180	おととい授業の後の飲み替えがあって
704180	706360	ついそれを持ってっちゃったんだけど
706760	710320	飲みすぎて寝ちゃって忘れてきちゃったんだよね
710320	713600	えっじゃあ亡くしちゃったわけ
713600	716320	いや出ては来たんだけどね
716860	717240	うん
718100	722380	先生がなんでそんな大事な資料を飲み替えなんかに持っていくんだって
722920	724420	まあそりゃそうよね
730620	732260	この男の学生は
732720	735460	先生がどうして起こったと言っていますか
737220	740160	最も良いものは3番です
741060	745860	回答用紙の問題2の例のところを見てください
747040	750060	最も良いものは3番ですから
750060	752900	答えはこのように書きます
755860	757580	では始めます
770400	771320	1番
772020	773940	会社で昼休みに
773940	776820	女の人と男の人が話しています
778040	782140	男の人が今の会社に入った理由は何ですか
782780	784080	男の人です
807960	808680	1番
808680	812400	吉田さんはどうしてこの会社に就職しようと思ったんですか
813120	815960	私の場合ここしか浮からなかったんですけど
817020	818280	うーんそうだな
818860	823780	最初はとにかく誰もが知ってるような知名度の高い会社に入りたいと思ったんだけど
824120	826960	いろいろ調べてるうちに考えが変わってね
827840	831920	仕事だけじゃなくてプライベートの時間も大事だって言う人もいるけど
832300	835720	僕は例えば残業が多かろうが休みが少なかろうが
