prefecture_id,prefecture,city_id,city,source_file,installed
"PRF-001","北海道","CTY-001","札幌市","冬の大通公園と札幌テレビ塔.png","yes"
"PRF-001","北海道","CTY-HKD-HAKODATE","函館市","桜咲く函館五稜郭.png","yes"
"PRF-001","北海道","CTY-HKD-OTARU","小樽市","雪とガス灯の小樽運河.png","yes"
"PRF-001","北海道","CTY-HKD-ASAHIKAWA","旭川市","雪景色の旭山動物園 ペンギンウォーク.png","yes"
"PRF-001","北海道","CTY-JP-01205","室蘭市","室蘭港と白鳥大橋の夕景.png","yes"
"PRF-001","北海道","CTY-JP-01206","釧路市","霧の釧路湿原、丹頂鶴の夜明け.png","yes"
"PRF-001","北海道","CTY-HKD-OBIHIRO","帯広市","帯広ばんえい競馬の輓馬と鉄そり.png","yes"
"PRF-001","北海道","CTY-JP-01209","夕張市","夕張の赤煉瓦炭鉱とメロン.png","yes"
"PRF-001","北海道","CTY-JP-01208","北見市","北見のハッカ畑と赤屋根.png","yes"
"PRF-001","北海道","CTY-JP-01210","岩見沢市","岩見沢公園の満開ローズガーデン.png","yes"
"PRF-001","北海道","CTY-JP-01211","網走市","網走の流氷と赤い砕氷船.png","yes"
"PRF-001","北海道","CTY-JP-01214","稚内市","冬光に映える稚内北防波堤ドーム.png","yes"
"PRF-001","北海道","CTY-JP-01216","芦別市","芦別市・三段滝、錦秋の森.png","yes"
"PRF-001","北海道","CTY-JP-01213","苫小牧市","ウトナイ湖、白鳥と港の遠景.png","yes"
"PRF-001","北海道","CTY-JP-01215","美唄市","アルテピアッツァ美唄、白い彫刻の秋.png","yes"
"PRF-001","北海道","CTY-JP-01217","江別市","江別の赤れんが窯と煙突、川辺の街.png","yes"
"PRF-001","北海道","CTY-JP-01212","留萌市","留萌・黄金岬の日本海夕景.png","yes"
"PRF-001","北海道","CTY-JP-01218","赤平市","赤平炭鉱遺産と空知の緑谷.png","yes"
"PRF-001","北海道","CTY-JP-01219","紋別市","紋別の赤いカニ爪と流氷.png","yes"
"PRF-001","北海道","CTY-JP-01220","士別市","士別・羊と雲の丘.png","yes"
"PRF-001","北海道","CTY-JP-01221","名寄市","名寄のひまわりと銀の天文台.png","yes"
"PRF-001","北海道","CTY-JP-01222","三笠市","三笠鉄道村の黒い蒸気機関車.png","yes"
"PRF-001","北海道","CTY-JP-01223","根室市","納沙布岬、白灯台と初日の出.png","yes"
"PRF-001","北海道","CTY-JP-01224","千歳市","千歳の秋、支笏湖と恵庭岳.png","yes"
"PRF-001","北海道","CTY-JP-01226","砂川市","砂川の森に立つ巨大ピラミッド.png","yes"
"PRF-001","北海道","CTY-JP-01227","歌志内市","歌志内、森に残る旧坑口と鉱車.png","yes"
"PRF-001","北海道","CTY-JP-01225","滝川市","滝川の菜の花畑を舞う白いグライダー.png","yes"
"PRF-001","北海道","CTY-JP-01229","富良野市","雪森に灯るニングルテラス.png","yes"
"PRF-001","北海道","CTY-JP-01228","深川市","深川の黄金稲田と北の丘.png","yes"
"PRF-001","北海道","CTY-JP-01230","登別市","蒸気立つ登別地獄谷の秋.png","yes"
"PRF-001","北海道","CTY-JP-01233","伊達市","内浦湾を望む北黄金縄文遺跡.png","yes"
"PRF-001","北海道","CTY-JP-01231","恵庭市","恵庭の英国風花園と恵庭岳.png","yes"
"PRF-001","北海道","CTY-JP-01234","北広島市","北広島の緑に抱かれた開閉式屋根球場.png","yes"
"PRF-001","北海道","CTY-JP-01235","石狩市","石狩灯台とハマナスの海辺.png","yes"
"PRF-001","北海道","CTY-JP-01236","北斗市","北斗市の赤レンガ修道院とポプラ並木.png","yes"
"PRF-002","青森県","CTY-002","青森市","夏の宵、青森ねぶたの勇壮な武者.png","yes"
"PRF-002","青森県","CTY-AOM-HIROSAKI","弘前市","桜舞う堀に映える弘前城.png","yes"
"PRF-002","青森県","CTY-AOM-HACHINOHE","八戸市","蕪島神社とウミネコ舞う青い海.png","yes"
"PRF-002","青森県","CTY-JP-02204","黒石市","雪化粧の黒石中町こみせ通り.png","yes"
"PRF-002","青森県","CTY-JP-02205","五所川原市","五所川原、夕暮れにそびえる立佞武多.png","yes"
"PRF-002","青森県","CTY-JP-02207","三沢市","三沢の歴史機と小川原湖畔.png","yes"
"PRF-002","青森県","CTY-AOM-TOWADA","十和田市","紅葉の奥入瀬渓流と銚子大滝.png","yes"
"PRF-002","青森県","CTY-JP-02209","つがる市","津軽・高山稲荷の赤鳥居庭園.png","yes"
"PRF-002","青森県","CTY-AOM-MUTSU","むつ市","恐山・宇曽利湖の硫黄風景.png","yes"
"PRF-002","青森県","CTY-JP-02210","平川市","平川市・盛美園の洋館と秋の池.png","yes"
"PRF-003","岩手県","CTY-003","盛岡市","盛岡の石割桜と赤レンガ裁判所.png","yes"
"PRF-003","岩手県","CTY-JP-03203","大船渡市","碁石海岸の黒礫と穴通磯.png","yes"
